item_clean,SemDis_glove_c_m,response
book,0.88106,weapon
book,0.88827,bridge
book,0.84083,steps
book,1.20685,flower pressing
book,1.01729,tortilla pressing
book,1.09264,squash insects
book,0.70345,step to reach something high
book,1.26482,fan for hot weather
book,1.08721,fly swat
book,0.7335400000000001,to illustrate bird flapping
book,0.78277,flicking pages to make animated figure
book,1.22448,make zipping noise by flicking pages
book,1.25566,Fire paper
book,1.3227,to balance things with
book,0.8898699999999999,to squash flies
book,0.71357,to hold other books up
book,1.28193,a fan
book,1.22823,to protect tables from hot drinks or food
book,0.89303,As compost
book,0.70367,As fire fuel
book,0.68919,As decoration on a shelf
book,0.71794,To act as a weight on something
book,0.81578,To flatly press something down
book,0.77091,To fill up space in a box
book,0.76872,As a weapon to throw at people
book,0.68965,To flip like a fan
book,1.18716,To soak up water
book,0.64028,put things on
book,0.7073499999999999,keep desk stable
book,1.2771,stack up to form a barrier
book,1.30393,use as a partition
book,1.20709,as a stepping stool
book,0.94459,ornament
book,0.71523,hiding items inside
book,0.7975099999999999,ice off window scraper
book,1.08348,trowel
book,0.6822900000000001,coffee table support
book,1.27973,cache for hidden objects
book,0.77986,weapon to bludgeon burglar
book,0.77932,tent for a small animal
book,1.27026,put it under a wonky table leg
book,1.28015,fan yourself with it
book,1.04465,paperweight
book,0.75515,cut the middle out  and use it as a hiding place
book,0.7443500000000001,use as a paperweight
book,0.66247,throw at someone
book,1.12257,prop open a door
book,1.27475,door stop
book,0.78457,step
book,0.82794,weight
book,0.79158,stand
book,0.90627,decor
book,0.88952,plate
book,0.88936,napkin
book,1.17761,placemat
book,0.78457,step
book,1.25841,Wall feature
book,1.32639,Step up
book,1.17761,Placemat
book,0.97121,Coaster
book,0.7398,Fan
book,0.77119,Tent for animals
book,0.81213,Hat
book,1.23648,Stand up the book and use as a phone holders
book,0.7720400000000001,to swat flies
book,1.2464,Stand on to reach things in high places
book,0.76766,Use as a plate to eat food off of
book,1.25488,To play catch with
book,0.76478,Tap the book to make a beat
book,1.24804,use as a fan
book,1.36309,read it
book,0.6614800000000001,stand on it
book,1.28024,burn it
book,1.31165,make it into a secret container
book,0.6513599999999999,write in it
book,0.7127600000000001,build a house
book,1.29807,throw it
book,0.7121999999999999,hit some one
book,0.7669,use it as a brick
book,0.7443500000000001,stop your car rolling away
book,0.73748,build a fence
book,0.42418,read
book,1.23406,lamp stand
book,1.11718,height elevator
book,0.89548,decorative
book,0.68914,in tool shed eg for nuts and bolts
book,1.29268,to hide money in
book,0.73687,to sell for cadsh to but something else
book,0.7198,make paper airplanes
book,0.72976,use to fuel a fire
book,1.18477,a door stopper
book,0.85315,a draught excluder
book,0.7753099999999999,a makeshift drum
