item_clean,SemDis_glove_c_m,response
book,0.82794,weight
book,1.0203,store bookmarks
book,1.27328,Tea or coffee stand
book,1.23394,A large book could be a table of some sort
book,1.29487,A seat
book,1.27601,build a fragile wall of books
book,1.37125,as a footstool
book,1.15184,a projectile for scaring cats
book,1.28193,a fan
book,1.22642,use two or more stacks as legs for a table
book,1.29243,a height adjustment under a short chair leg
book,0.87352,a combustible firestarter
book,0.76308,a temporary curtain large book
book,0.78457,step
book,0.6911,hard surface to lean on
book,0.97415,prop
book,1.13408,papier mache
book,0.93647,origami
book,0.6987300000000001,poster
book,1.29287,hold a camera still
book,0.73089,as a table topper
book,1.18521,floating shelves
book,1.22291,multiple books could make a table/stand etc
book,,wallpeper
book,0.8728400000000001,wallpaper
book,1.29561,pages used for paper mache
book,1.3122,A balance
book,1.27234,coffee table
book,0.91168,nightstand
book,0.7118800000000001,stop a table/chair rocking
book,1.21175,a tower
book,0.92583,decoration
book,1.28688,use as a step
book,1.00503,doorstop
book,0.65387,as a shelf
book,1.26051,toilet paper
book,1.03213,monitor raiser
book,0.81124,shoes
book,0.9205,notepad
book,1.24605,wrapping paper
book,0.93752,to mop up spills
book,1.28048,drinks holder
book,1.1945,small tent
book,1.13745,rain hat
book,0.67164,To stand on
book,1.20957,To prop up a table leg
book,1.23603,to use as an ornamentel theme with other books
book,1.2626,To fan your face
book,1.20332,To burn on fireplace
book,0.74245,fuel for burning
book,1.26051,toilet paper
book,0.92583,decoration
book,1.07676,projectile
book,0.90965,shelter
book,0.7398,fan
book,0.72139,frame it and make it art piece
book,0.67774,make into steps
book,0.82794,weight
book,0.71739,to press flowers
book,1.27475,door stop
book,1.29968,fire fuel
book,1.01968,table wedge
book,0.79599,draft excluder
book,0.61931,artwork
book,0.90627,decor
book,1.24544,scrap paper
book,0.6070599999999999,collarge art
book,1.12662,flower press
book,1.04465,paperweight
book,0.88106,weapon
book,1.3127,Create wall art with the pages
book,0.7781,build a fort with them
book,1.30551,use as toilet paper
book,1.2196,use as shelter for a list baby squirrel
book,1.28911,use as a plate
book,1.35231,use as maracas
book,1.04174,use them instead of your hands to clap
book,0.96587,use as a pillow
book,1.29181,art piece
book,0.7096,table
book,,papermache
book,0.78457,step
book,0.88853,seat
book,1.04465,paperweight
book,0.97395,fire kindling
book,1.12662,flower press
book,0.93294,bludgeoning weapon
book,0.94467,bed riser
book,1.31158,Make it into something
book,0.71548,use it to make a oresent
book,1.19954,use it to make a kite
book,1.2601,Use it to make a boat
book,1.27475,Door stop
book,0.78457,Step
book,0.86014,Pillow
book,1.10951,Ballast
book,1.02619,Wedge
book,1.14507,Shim
book,1.31743,Paper weight
book,1.08879,Insect killer
book,1.12662,Flower press
book,0.88106,Weapon
book,0.94583,Posture corrector
book,1.26072,to hold a cup
book,1.27634,to use as cap
book,0.76413,to protect from the rain
book,0.96856,to put under your pillow to raise you
book,1.31002,to hide important items
book,0.78305,to kill a spider or any other insect  bug
book,0.72018,to serve as a ruler to measure
book,1.3058,to reach higher spaces
book,1.25892,to throw at someone
book,0.99418,firewood
book,1.26051,toilet paper
book,1.04465,paperweight
book,1.21861,paper airplane
book,0.75099,food
book,0.92823,termite treat
book,0.94766,bonfire
book,0.95556,sketchbook
book,0.93647,origami
book,1.10545,bludgeon
book,0.75678,invisible ink surface
book,1.27099,monitor stand
book,0.66852,Keeping door open
book,0.70973,Eating food from
book,1.17867,Balancing scales
book,1.20839,Representing points on a graph
book,0.7400100000000001,Starting a fire
book,1.00591,stool
book,0.8388,fire
book,1.31333,paper chains
book,1.11287,papier mashe
book,0.82794,weight
book,0.6987300000000001,poster
book,0.96325,secrete storage
book,1.3564,book end
book,0.80938,poking a hole
book,1.18477,a door stopper
book,0.76686,a tea guard
book,0.73005,a plant stand
book,1.19823,hiding keys
book,1.27007,a door wdge
book,1.09417,a prop on stage
book,0.82849,a seat raiser
book,1.02448,elevating height stand
book,0.60144,Prop for wobbly leg of a table
book,1.20625,Syacked books  mountain for action figure dolls to climb
book,0.79539,tool for squishing spiders
book,1.27475,door stop
book,1.21217,prop to heighten level of laptop on desk when too low to use comfortably
book,0.42418,read
book,1.27918,use as a wedge
book,0.7051000000000001,use as weapon
book,0.75667,use as a little house opened up
book,1.29931,use as an enercise piece
book,0.79166,shelf
book,0.85527,tower
book,1.26923,bedside table
book,1.31804,computer stand
book,1.27024,a step
book,1.25429,a weapon
book,1.27475,door stop
book,0.6070599999999999,art
book,1.23938,bridge to walk across
book,1.26164,hide money
book,1.37409,Make a bookmark
book,1.32064,Secret storage
book,,Collarge
book,0.85876,Gym equipement
book,1.24605,Wrapping paper
book,0.92583,Decoration
book,0.72965,Use the cover to hide other books
book,0.50832,reading
book,0.6254299999999999,balance table leg
book,1.15284,crazy hat
book,1.00503,doorstop
book,0.82794,weight
book,1.08721,fly swat
book,0.68312,Try to balance it on your head
book,0.74373,Try to make a fire
book,0.8003899999999999,Try to rip it into as many pieces as possible
book,1.2731,Smoke it
book,1.22472,Put it in the freezer and use it as a cold pack
book,1.22294,Use it as a projectile weapon on your favorite enemy
book,0.7464500000000001,Try to read it back to front
book,0.71183,Eat the pages
book,1.09045,Chew the cover
book,1.23836,Use it to clean your bum when you've been to the toilet
book,0.50832,Reading
book,1.21466,Stack to make a makeshift table
book,0.78653,Stack to provide makeshift step
book,1.06006,Kindling
book,0.70833,Material for paper mache
book,0.7398,Fan
book,1.27475,door stop
book,0.82794,weight
book,0.94017,fly squatter
book,1.27099,monitor stand
book,1.29559,balance table
book,1.29968,fire fuel
book,0.74344,bridge for insects
book,0.97121,coaster
book,1.09457,hockey puck
book,0.94714,roller
book,0.70793,Little table to write on
book,1.2012,Stand to prop something up against
book,0.69381,As an umbrella
book,1.2746,As a door step
book,1.27475,Door stop
book,0.90627,Decor
book,1.31245,start a bookclub
book,0.50832,reading
book,0.65,A paper weight
book,1.25006,A stand for phone or tablet
book,1.22676,Table Legs
book,1.14851,Fly Trap
book,1.02321,Doorstep
book,0.83765,Safe
book,,Selfdefense
book,0.80762,Hit your sibling
book,0.74597,Holdawindow open
book,0.75455,Use it as a fan
book,1.32319,Blow your nose on the pages
book,0.69484,Use it as toilet paper
book,1.2755,Use it as a table mat
book,0.7482800000000001,Stand on it to make yourself taller
book,0.76324,Use it as a hat
book,1.32469,phone stand
book,1.16028,making a collage
book,1.26108,cutting out words and making poems and stories
book,0.80932,paper mache
book,1.18098,stacking them to make a stool
book,1.19677,press flowers
book,1.27224,use like a table
book,1.24836,painting them to make decorative books
book,1.02619,wedge
book,1.02875,cushion
book,0.95336,tray
book,0.88952,plate
book,0.81213,hat
book,0.83789,lumbar support
book,0.81124,shoes
book,0.89802,flag
book,0.88106,weapon
book,1.1212,pizza base
book,,frizbe
book,1.18382,rolling pin
book,0.88853,seat
book,1.27475,Door stop
book,1.31743,Paper weight
book,1.23822,Coffee and tea coaster
book,1.30087,Window open
book,1.35418,Raise items
book,0.78028,Books on a shelf make decent bathroom decoration for guest bathrooms
book,0.93647,origami
book,0.71873,a weapon  deadly papercuts
book,1.29067,use the pages to make a skirt and wear it
book,0.78042,slam the book shut use like a bass drum
book,0.91539,make confetti
book,1.19758,to prop up a table with
book,0.7212000000000001,to carve out a nook inside to hide something in
book,0.78746,to cut up to use a collage material
book,1.25773,to use to make paper mache to create something
book,0.7885,as a wind break for a candle
book,0.7729,a tent for a spider
book,1.21076,tear out pages and create a collage
book,1.19677,press flowers
book,0.82587,flatten something
book,0.81213,Hat
book,0.94459,Ornament
book,1.30621,Flip book
book,0.7398,Fan
book,0.7234400000000001,House for toys
book,1.27475,door stop
book,0.86006,make a wreath
book,1.29356,paper decorations to hang
book,0.96722,compost it
book,1.00503,doorstop
book,0.97121,coaster
book,0.78457,step
book,1.23402,pot rest
book,0.92583,decoration
book,1.09881,booster seat
book,0.86014,pillow
book,1.02415,support for wobbly chair leg
book,1.27475,door stop
book,0.84083,steps
book,1.28193,a fan
book,1.35097,clothes press
book,1.32504,paper press
book,0.87932,hammer
book,0.82662,furniture
book,0.96848,ruler
book,1.29982,to hide things in
book,0.7010000000000001,to slice or cut things
book,1.31389,to fold into shapes
book,1.31743,paper weight
book,1.3483,To prop up a wobbly table
book,1.24253,To raise up a table lamp
book,1.25806,To start a fire
book,1.23633,As a fan in hot weather
book,1.27494,To hit someone with
book,1.26747,To send a ransome note
book,0.77466,door
book,1.27475,door stop
book,0.75093,club
book,0.88952,plate
book,1.02619,wedge
book,1.06006,kindling
book,1.21167,hiding place
book,0.94818,paper bouquet
book,0.4698099999999999,journalling pages
book,0.94938,wreath
book,0.93879,folder organiser
book,0.77389,stacked books for table lamp
book,0.90036,bookmarks
book,1.14823,invisible shelf
book,1.29187,book stand
book,0.67306,level out a table leg
book,1.24844,desk weight
book,0.92376,spaghetti crusher
book,0.81213,hat
book,0.94984,umbrella
book,0.86014,pillow
book,1.23804,head rest
book,0.72089,fuel for fire
book,0.7910699999999999,insualtion  screw up pages
book,1.21228,arm rest
book,1.09624,tennis racket
book,1.16288,floor tile
book,1.43766,wall paper
book,1.27475,Door stop
book,0.7398,fan
book,0.88787,brick
book,0.97415,prop
book,1.21794,table steady
book,1.29968,fire fuel
book,1.22491,spirit level
book,1.21329,paper shapes oragami
book,1.05628,Step ladder
book,1.27475,Door stop
book,1.2788,Decorative piece/ wall art
book,0.7398,Fan
book,0.90707,Drum
book,1.08721,Fly swat
book,1.21931,open up and place on your head  a makeshift hat
book,0.78099,opened and blanced  it could be a tent for a small rodent
book,1.23346,you could use a book a fuel for a fire
book,1.06406,you could make confetti with the pages
book,0.75331,use a page as rolling paper for a cigarette
book,0.78013,use a book as a sketch pad  draw over the words
book,0.6150100000000001,a reading book
book,1.28921,lighting a fire with the pages
book,1.2957,to prop up an unsteady table
book,0.7628900000000001,hidden storage box
book,0.90137,lantern
book,1.22667,lever for hidden door
book,1.25922,cut up for pictures
book,1.32886,quotes for picture frame
book,0.7821400000000001,bricks for building a play house or den
book,1.17512,mouth of animal eg crocodile
book,1.03202,loo roll
book,1.17104,wedge for a table
book,1.30459,weapon against an intruder
book,0.99256,domino toppling
book,0.72536,a thing to fold decoratively into a home decor thing
book,1.22239,outside of a purse  hollow it out and add handles
book,1.30246,a safe
book,1.23643,a dead letter box
book,1.24605,wrapping paper
book,0.50832,Reading
book,1.01973,stacking
book,0.93911,storing
book,1.18816,height adjusting
book,1.06366,flicking
book,0.80902,Burning
book,1.39009,taking notes
book,1.13254,Wall decoration
book,0.84083,Steps
book,1.21649,Table leg
book,0.82794,Weight
book,1.12662,Flower press
book,0.88106,Weapon
book,1.34382,To hold paper down
book,1.17761,placemat
book,0.97121,Coaster
book,1.27024,A step
book,1.00503,doorstop
book,0.73654,to throw at an enemy
book,0.75447,burn for heat
book,0.73839,burn for cooking
book,1.13345,to even a wobbly table
book,1.24207,scrapbook for paintings
book,0.79166,shelf
book,1.24385,lamp base
book,0.96627,wallpaper single pages
book,0.76515,container hollow out
book,0.83765,safe
book,0.87527,collage
book,0.84782,rip out the pages ad start a fire
book,0.71817,Stand on it to reach things on a shelf
book,0.73282,Hit people with it in selfdefence
book,1.2848,Pretend to read it upsidedown and see if anyone mentions it
book,1.28445,Count the number of the letter 'z' on each page and use the numbers to create a graph
book,1.02949,wobbly table
book,1.25792,help start a fire
book,1.36309,read it
book,0.69101,use as a secret code
book,0.96722,compost it
book,1.28803,satrt seeds on the pages
book,1.30576,making an obstacle course
book,0.98487,ladder
book,1.10747,supporting beam for making a den
book,1.22056,making a cage to keep an animal in
book,0.69726,steps to reach a shelf
book,1.24286,place mat
book,1.15559,headrest
book,1.22567,marker to show where someone needs to sit or stand
book,0.70838,a photo album
book,1.03074,use the pages for wallpaper
book,1.30087,open window
book,,steo
book,0.78457,step
book,1.02619,wedge
book,0.82794,weight
book,1.31289,something to lean on
book,0.72316,hit a fly
book,1.226,as a ramp for pushing toy cars over
book,1.24899,as marker for measuirng a persons height
book,1.25022,to put on a fire to keep warm
book,1.2351,as a blind to keep the sun out
book,1.00503,doorstop
book,0.88106,weapon
book,0.88969,fly swatter
book,1.20049,fire wood
book,1.15603,driveway ramps
book,0.84083,steps
book,1.21794,table steady
book,0.76668,build a fort
book,1.28119,smuggling device
book,1.099,table coaster
book,0.7398,fan
book,1.27457,hidden secret
book,0.7093400000000001,prop up something
book,1.26932,stand on
book,1.26607,hold open a window
book,1.12711,lampshade
book,1.29145,page fold to create art shape
book,0.94938,wreath
book,,envolpes
book,,pouched/bags
book,1.21721,paper flowers
book,1.14339,decoupage
book,1.02651,paper mache sculpture
book,1.00503,doorstop
book,0.81401,scrapbook
book,1.26194,prop for camera/phone
book,0.95556,sketchbook
book,1.26975,As a doorstop
book,1.18917,A bridge
book,1.30842,A platform
book,1.0883,A fire accelerant
book,0.68157,A wind break
book,1.2251,A shield
book,0.85315,A draught excluder
book,1.2796,A hammer
book,0.89303,As compost
book,0.80294,As a makeshift waterfall/slide
book,1.10573,cash stash
book,0.83272,cut bookmarkers
book,0.87932,hammer
book,1.06006,kindling
book,1.28371,tablet stand
book,0.88969,fly swatter
book,0.88106,weapon
book,0.78457,step
book,1.00192,weights
book,0.94043,fuel
book,1.18973,throwing game
book,1.02619,wedge
book,1.25326,tower building
book,0.73792,SHELVES
book,0.61931,ARTWORK
book,1.22928,STORAGE BOX
book,1.28934,KEY SAFE
book,1.26473,Use as self defence
book,0.76747,Use as fuel for a camp fire
book,1.30636,Cut it up and make a jigsaw
book,1.22907,Put on head as a hat
book,0.73264,Use as a noise dampener under a speaker
book,1.16983,yoga block
book,0.78457,step
book,1.02286,sofa seat raiser
book,1.16928,cat seat
book,1.22917,child raising seat for extra height
book,0.71139,fire burning material
book,0.88037,water leak stoppage
book,1.27475,Door stop
book,0.70563,Level a wonky table
book,1.29013,For firelighting fuel
book,1.26051,Toilet paper
book,1.25303,Make paper beads from the pages
book,0.69766,Hid items such as money/keys as a safe
book,0.75014,Place together to make coffee table top
book,1.08721,Fly swat
book,1.12662,Flower press
book,1.02239,Use individual pages for wallpaper
book,1.2517,A book circle or archway
book,1.14777,A lamp
book,0.77767,to create a playing area for a ball game
book,1.29889,to rest paper on while writing
book,1.3021,To level a table
book,1.01455,As an ornament
book,0.71739,To press flowers
book,1.28795,To light a fire
book,1.21862,As a tent for toy soldiers
book,1.21992,As a fan by flicking the pages
book,1.27284,Food for a pet
book,1.29808,bookend if it's really heavy
book,1.31743,paper weight
book,1.15849,fire starter
book,0.86014,pillow
book,1.05881,car jack
book,1.30418,fix a wonky table leg
book,0.73488,weights for lifting
book,0.7398,fan
book,0.82999,origami figures
book,0.92435,bouquet
book,0.94938,wreath
book,1.28965,knife block
book,1.16494,plant pot
book,0.90036,bookmarks
book,1.30949,level table
book,1.31743,paper weight
book,0.82587,flatten something
book,0.94459,ornament
book,1.09526,play castle
book,1.2826,use the paper to write on
book,1.08038,to prop something up for example a monitor
book,0.76772,like a calendar  with different words for each day
book,1.19315,recycle it
book,1.33822,make paper origami
book,0.88669,use the paper to mop up spillages
book,1.24406,rest coffee cups on
book,0.68484,to look good on a book shelf
book,1.27099,Monitor stand
book,0.70475,Draw a straight line against
book,1.2569,Used to stand on to reach high objects
book,1.22075,To slam and wake someone up
book,0.7198899999999999,As an ornament on bookstand to look good
book,0.73969,To sleep on at work
book,0.7067300000000001,A monitor stand
book,0.69601,A yoga block
book,0.66717,A table mat
book,0.7199800000000001,a door stop
book,1.16983,Yoga Block
book,0.70599,To raise the camera height
book,1.34159,To measure
book,1.13726,To squat a fly
book,1.23241,As a acting prop
book,0.67669,To hide behind
book,1.26071,To build a tower
book,1.21276,A makeshift hammer heavy  blunt object
book,1.17802,Concealment device
book,1.00503,Doorstop
book,0.79166,Shelf
book,0.7739199999999999,as a adjustable stand for another object such as a laptop or monitor
book,1.22022,building a stone henge like monument of stacked books
book,0.7774,building a 'card house' like stack of leaning books
book,0.80387,building a tall tower of books in ascending size shape
book,0.76822,color sorting your books to evoke a colour theme
book,0.88969,fly swatter
book,0.92518,oven mitts
book,1.27475,door stop
book,0.7398,fan
book,1.31104,book shelf
book,1.09904,stilts
book,1.22676,table legs
book,0.72538,warmth burning them
book,0.68997,to balance a monitor on
book,0.6884600000000001,to make a shelf with
book,1.25353,to make a table out of
book,1.27849,to use as weights
book,0.79144,to use as a stool
book,1.23935,to kill a fly
book,1.13288,Christmas decorations
book,1.12863,tripod
book,0.88853,seat
book,0.99559,paddle
book,1.08721,fly swat
book,0.81213,hat
book,0.96739,racket
book,0.91954,mouse mat
book,1.12037,hold up a wobbly table
book,0.85815,disguise
book,1.13607,sunshade
book,1.10691,choc
book,0.96905,chock
book,0.80734,Paper aeroplanes
book,1.13408,Papier mache
book,0.87527,Collage
book,0.77634,Clothing
book,0.99539,Paper lanterns
book,1.256,stand on it if you are short to reach things
book,1.24495,use the paper as fuel in the winter
book,1.21972,use the paper and fold into fans in the summer
book,1.29915,cut away the pages to make a hidden safe space for jewellery
book,1.2728,Hold open a door
book,0.7482800000000001,Stand on it to make yourself taller
book,1.30415,Fan yourself
book,0.75409,Use as a mouse mat
book,1.31035,Carry it around  to look intelligent
book,1.32768,As a beer mat
book,1.16288,floor tile
book,,tabel
book,0.7096,table
book,0.88786,chairs
book,0.92273,sofa
book,0.83956,bed
book,0.99559,paddle
book,0.88952,plate
book,0.80817,Use certain pages to make memorabilia or accessories like origami or plants
book,0.78012,Stack together to create shade for outdoor work to see a laptop screen in the sun  say
book,1.18876,Makeshift umbrella to keep hair dry
book,0.71982,cut up and make a hardback book into a bag
book,0.66787,flip book byr drawing images in
book,1.17411,cut pages to make it more sculptural  art
book,0.73848,use different coloured books as art  stack them or side by sode
book,0.73112,to make pop up cards
book,1.23556,to make a stash
book,1.361,as a phone holder
book,1.17761,placemat
book,1.33254,laptop stand
book,0.81213,hat
book,0.7398,fan
book,1.29123,building block
book,0.83909,fly swot
book,1.09904,stilts
book,1.26051,toilet paper
book,1.04465,paperweight
book,1.26245,ornament in a collection of books
book,1.22256,as a conversation topic in a sitting room on a coffee table
book,1.24169,a record of a an event
book,0.90999,Recreation
book,0.78992,table leveller
book,0.79158,stand
book,0.97415,Prop
book,0.89548,decorative
book,1.3007,A Shelf
book,1.28018,Side table
book,1.27234,Coffee table
book,1.00503,Doorstop
book,1.26118,A wall in a treehouse
book,1.22833,A fun feature wall at home
book,0.74041,A secret container for keys
book,1.22159,Stuck together and move as one on a bookcase like a hidden shelf
book,0.99995,kill spiders
book,1.00591,stool
book,0.66397,level a table
book,1.30415,fan yourself
book,1.35439,to lean paper on
book,1.28366,create fire
book,1.03697,carving art
book,0.93647,origami
book,1.21283,table mat
book,1.07056,ransom note
book,1.22389,games for children  fill in blank
book,0.7451300000000001,a stand for an item
book,0.90345,bug swatter
book,1.26299,tear to use as decoration/background
book,0.81213,hat
book,0.72282,Indoor cricket bat
book,1.21667,bridge for indoor animals
book,0.79166,shelf
book,1.11651,chopping board
book,1.19395,Foot rest
book,0.7542800000000001,toy
book,1.26051,toilet paper
book,0.88106,weapon
book,1.24804,use as a fan
book,1.24473,to stand on to become taller
book,0.75447,burn for heat
book,1.17761,placemat
book,0.68962,stand items on
book,0.99418,FIrewood
book,1.26051,Toilet Paper
book,0.64497,a press/flowerpress
book,0.6848099999999999,hiding things inside
book,1.21048,stool to reach something higer upo
book,0.7400100000000001,starting a fire
