item,SemDis_glove_c_m
box,0.69479
box,0.7372
box,0.75598
box,0.79199
box,0.82064
box,0.85192
box,0.861499999999999
box,0.9966
box,0.99765
box,0.99771
box,1.02109
box,1.03206
box,1.06674
box,1.12533
box,1.18349
box,1.18692
box,1.18932
box,1.19172
box,1.23057
box,1.23298
box,1.24629
box,1.24823
box,1.33357
box,0.75598
box,0.94732
box,1.06759
box,0.6039
box,0.70492
box,0.74119
box,0.74569
box,0.75465
box,0.75585
box,0.75955
box,0.77187
box,0.774
box,0.78382
box,0.78742
box,0.81438
box,0.83085
box,0.83998
box,0.84596
box,0.85788
box,0.85821
box,0.85837
box,0.86652
box,0.86665
box,0.86781
box,0.872109999999999
box,0.89859
box,0.90786
box,0.91402
box,0.9232
box,0.99318
box,1.00173
box,1.08279
box,1.10215
box,1.10706
box,1.1186
box,1.17264
box,1.17415
box,1.23350999999999
box,0.60259
box,0.62732
box,0.70747
box,0.76715
box,0.77373
box,0.79483
box,0.80322
box,0.82024
box,0.88664
box,0.93276
box,1.09076
box,1.12982
box,0.69479
box,0.70747
box,0.70867
box,0.71
box,0.86408
box,0.89859
box,1.0664
box,1.17946
box,1.26685999999999
box,0.70747
box,0.75598
box,0.77366
box,0.79081
box,0.86408
box,0.917289999999999
box,0.95692
box,1.04492
box,1.10887
box,1.15279
box,1.19526
box,0.72951
box,0.75598
box,0.86408
box,0.86665
box,0.95399
box,0.99112
box,1.05721
box,1.07929
box,1.11305
box,1.11709
box,1.15134
box,1.16976
box,1.22443
box,0.65871
box,0.7659
box,0.77029
box,0.78823
box,0.79483
box,0.872109999999999
box,0.88456
box,1.02258
box,1.04008
box,1.06056
box,1.08628
box,1.13749
box,1.17923
box,0.68028
box,0.69479
box,0.72097
box,0.72836
box,0.72951
box,0.74031
box,0.75598
box,0.77274
box,0.801949999999999
box,0.8091
box,0.84697
box,0.84967
box,0.8791
box,0.88257
box,0.90605
box,0.91681
box,0.95703
box,0.97378
box,0.98477
box,1.10004
box,1.11486
box,1.13422
box,0.75517
box,0.94921
box,1.03119
box,1.10850999999999
box,1.15349
box,0.66466
box,0.69479
box,0.70747
box,0.7273
box,0.72951
box,0.74569
box,0.75585
box,0.75598
box,0.7623
box,0.76797
box,0.7898
box,0.79081
box,0.80322
box,0.82105
box,0.86408
box,0.88466
box,0.88676
box,0.95872
box,1.15591
box,1.24342
box,1.06807
box,1.06849
box,1.12345
box,1.15069
box,1.18271
box,1.20135
box,1.20797
box,0.75578
box,0.76757
box,0.78978
box,0.819269999999999
box,0.95591
box,0.99109
box,1.00915
box,1.23997
box,0.71
box,0.80322
box,0.82105
box,0.85265
box,0.9224
box,0.95389
box,1.00598
box,1.01725
box,1.16853
box,1.18457
box,1.21647
box,1.24823
box,1.22315
box,0.72184
box,0.86408
box,1.16997
box,1.18614
box,1.18773
box,1.22238
box,1.24455999999999
box,0.66466
box,0.85727
box,0.86408
box,1.06347
box,1.09217
box,1.32426
box,1.25511
box,0.75585
box,0.75955
box,0.76541
box,0.86798
box,0.95843
box,0.63637
box,0.69479
box,0.70747
box,0.7273
box,0.72951
box,0.79199
box,0.82105
box,0.83365
box,0.86985
box,0.89859
box,0.95872
box,1.05164
box,1.06146
box,0.64393
box,0.72255
box,0.76715
box,0.77117
box,0.77852
box,0.78604
box,0.78706
box,0.79626
box,0.81892
box,0.83998
box,0.84099
box,0.84748
box,0.85856
box,0.91402
box,0.98846
box,1.02087
box,1.12797
box,1.17188
box,0.69479
box,0.71
box,0.789509999999999
box,0.79947
box,0.8091
box,0.82105
box,0.86408
box,0.944879999999999
box,1.032
box,1.06759
box,1.177
box,0.72951
box,0.79081
box,0.8091
