item,SemDis_glove_c_m
fork,1.05907
fork,0.93387
fork,0.93675
fork,0.9374
fork,0.95194
fork,1.04091
fork,1.03127
fork,0.95279
fork,1.02764
fork,0.94061
fork,0.94125
fork,0.94043
fork,0.94087
fork,1.05924
fork,0.98255
fork,1.05965
fork,0.94115
fork,1.05712
fork,1.04001
fork,0.94114
fork,0.94086
fork,1.052
fork,0.94436
fork,0.94467
fork,1.0288
fork,0.94625
fork,1.04759
fork,0.89722
fork,1.02374
fork,0.96867
fork,1.07708
fork,0.91208
fork,0.93364
fork,1.03064
fork,0.96535
fork,0.97699
fork,0.98489
fork,0.89112
fork,0.93811
fork,0.98847
fork,0.82906
fork,0.95158
fork,0.97889
fork,0.83424
fork,1.00151
fork,0.93873
fork,1.01734
fork,1.03064
fork,1.03023
fork,0.80749
fork,0.979
fork,0.93987
fork,0.95751
fork,0.97264
fork,0.72359
fork,0.79103
fork,1.0274
fork,1.00141
fork,0.89491
fork,1.07708
fork,1.06328
fork,0.91457
fork,1.04724
fork,
fork,1.04188
fork,0.94067
fork,1.01144
fork,1.10577
fork,0.9502
fork,0.98847
fork,0.72812
fork,0.98679
fork,0.94873
fork,0.95158
fork,1.14102
fork,0.92784
fork,1.01734
fork,0.96917
fork,1.03363
fork,0.93436
fork,1.01734
fork,1.03633
fork,0.99112
fork,0.95158
fork,1.02289
fork,0.93049
fork,0.93664
fork,0.9896
fork,0.95674
fork,0.94089
fork,0.94054
fork,0.94113
fork,0.93439
fork,1.05704
fork,0.99519
fork,0.94251
fork,1.04515
fork,0.96036
fork,1.02289
fork,0.93606
fork,0.94848
fork,1.03386
fork,1.0434
fork,1.08319
fork,0.72519
fork,0.91292
fork,1.00248
fork,1.01457
fork,1.05949
fork,0.94718
fork,0.98489
fork,0.94612
fork,0.84257
fork,1.01734
fork,0.94228
fork,0.99319
fork,1.08268
fork,0.93656
fork,1.06193
fork,0.94249
fork,1.11841
fork,1.05974
fork,0.94056
fork,0.98321
fork,1.01587
fork,0.99766
fork,0.99208
fork,0.73761
fork,0.76617
fork,1.05279
fork,0.79754
fork,0.93142
fork,0.93716
fork,0.89496
fork,1.0484
fork,1.02393
fork,
fork,0.99092
fork,1.04805
fork,0.98509
fork,0.91851
fork,0.94114
fork,1.05935
fork,0.9409
fork,1.01457
fork,0.96745
fork,0.95158
fork,1.06108
fork,0.95469
fork,0.94167
fork,1.05892
fork,0.94089
fork,0.97126
fork,0.92748
fork,0.9564
fork,0.89496
fork,0.96276
fork,0.95878
fork,0.93564
fork,0.9776
fork,1.00728
fork,1.05947
fork,0.94173
fork,0.97077
fork,0.95158
fork,0.96173
fork,1.00043
fork,1.01457
fork,1.02365
fork,0.94931
fork,0.94054
fork,1.02001
fork,0.95271
fork,1.05488
fork,0.94671
fork,0.93775
fork,0.94636
fork,0.94065
fork,0.93987
fork,0.94051
fork,1.04915
fork,0.96322
fork,0.94237
fork,1.05848
fork,1.04392
fork,0.81346
fork,1.03917
fork,1.08331
fork,0.72142
fork,0.94763
fork,0.94548
fork,1.13743
fork,0.83424
fork,0.749
fork,0.76617
fork,0.70781
fork,0.93751
fork,0.82408
fork,0.93716
fork,0.9225
fork,0.92599
fork,1.04629
fork,1.00317
fork,1.01126
fork,1.04675
fork,1.05316
fork,1.05843
fork,1.05628
fork,0.92345
fork,0.94163
fork,0.94193
fork,1.05846
fork,0.87487
fork,1.07735
fork,0.78621
fork,0.99543
fork,1.04521
fork,0.98965
fork,0.94902
fork,0.72142
fork,0.95322
fork,0.99586
fork,0.9866
fork,1.05234
fork,1.04752
fork,1.04165
fork,0.93317
fork,0.94784
fork,0.98489
fork,1.00865
fork,1.05398
fork,0.67996
fork,0.66998
fork,0.749
fork,1.01734
fork,1.05898
fork,0.97558
fork,0.8746700000000001
fork,0.87338
fork,1.08347
fork,0.90935
fork,0.96766
fork,0.98966
fork,0.92669
fork,0.95026
fork,1.05658
fork,0.94763
fork,1.04676
fork,0.94099
fork,0.93987
fork,1.03537
fork,1.01457
fork,0.95126
fork,0.99305
fork,1.03916
fork,1.0811
fork,0.93254
fork,0.95866
fork,1.01457
fork,
fork,0.80817
fork,0.95158
fork,0.87487
fork,1.00038
fork,0.97903
fork,0.99704
fork,0.5614600000000001
fork,0.97632
fork,0.9431
fork,1.00718
fork,0.80817
fork,1.05291
fork,1.0903
fork,0.88588
fork,1.05433
fork,1.01734
