item,SemDis_glove_c_m
book,0.98487
book,1.01778
book,1.22129
book,0.95336
book,0.7096
book,0.81213
book,0.94984
book,1.31019
book,1.24757
book,0.7055199999999999
book,1.2587
book,1.25892
book,1.25352
book,0.76888
book,0.74246
book,0.72355
book,1.29364
book,1.25823
book,0.7298100000000001
book,0.74134
book,1.05637
book,0.75787
book,0.7040299999999999
book,1.22797
book,1.21504
book,0.73569
book,0.77854
book,0.71941
book,1.29929
book,0.96456
book,0.6616
book,1.22858
book,1.25335
book,0.70546
book,0.6551199999999999
book,0.77476
book,0.7000500000000001
book,1.26928
book,1.26623
book,0.7093
book,1.24746
book,0.69601
book,1.23811
book,0.76357
book,0.7443500000000001
book,1.28688
book,1.22592
book,0.78171
book,1.26653
book,0.69388
book,1.26798
book,1.23534
book,1.26966
book,1.25806
book,0.8916
book,1.32639
book,0.98552
book,1.32242
book,1.30945
book,0.9205
book,0.69207
book,0.89396
book,1.2697
book,0.68937
book,1.29294
book,1.04465
book,1.25243
book,1.27057
book,1.21086
book,1.20412
book,0.75034
book,1.05161
book,1.22014
book,1.25326
book,1.29487
book,1.08469
book,0.70953
book,0.6732899999999999
book,1.28193
book,1.27475
book,0.50832
book,1.31743
book,0.88106
book,1.13404
book,1.28905
book,1.19444
book,0.8728400000000001
book,1.24605
book,1.02875
book,0.78457
book,1.18369
book,0.7398
book,0.9932
book,1.15826
book,1.16082
book,0.66362
book,1.2728
book,1.26886
book,1.04465
book,0.97121
book,1.11953
book,0.82794
book,1.31743
book,1.00698
book,0.69506
book,1.24236
book,1.22816
book,1.1567
book,0.82376
book,1.23438
book,0.7439100000000001
book,0.72435
book,0.90109
book,1.02794
book,0.83029
book,0.94459
book,1.24757
book,0.79541
book,1.2184
book,1.29487
book,0.74655
book,0.67669
book,1.28193
book,0.94984
book,1.00503
book,1.04465
book,1.21649
book,1.0461
book,1.14169
book,1.00988
book,
book,1.06006
book,0.88853
book,1.28605
book,0.7723
book,1.10951
book,1.20098
book,1.23395
book,0.5920799999999999
book,1.21965
book,1.43766
book,1.26573
book,1.24574
book,0.94459
book,1.22129
book,0.99003
book,0.79166
book,1.05161
book,0.7398
book,0.78457
book,1.09408
book,1.12293
book,1.04349
book,1.31156
book,0.73829
book,0.75266
book,0.72521
book,0.7149099999999999
book,0.71905
book,1.00591
book,1.28113
book,1.19326
book,0.71873
book,1.304
book,1.23807
book,0.73988
book,
book,1.29355
book,1.26385
book,0.65101
book,1.22116
book,1.04465
book,0.6416200000000001
book,0.80734
book,1.04737
book,
book,0.88969
book,0.96739
book,1.04465
book,1.33403
book,0.7398
book,1.10749
book,1.09595
book,0.80028
book,0.93647
book,0.8728400000000001
book,1.24945
book,0.77502
book,0.81213
book,0.69031
book,1.25883
book,0.72326
book,1.27596
book,0.7499199999999999
book,0.69574
book,0.79166
book,0.8728400000000001
book,1.02112
book,0.5457799999999999
book,0.86014
book,0.88106
book,0.7113499999999999
book,0.70472
book,1.22562
book,1.30779
book,1.11687
book,1.29097
book,0.7037599999999999
book,0.7804599999999999
book,1.26975
book,1.29608
book,1.26051
book,1.15849
book,0.93589
book,0.73051
book,1.08181
book,0.91168
book,
book,0.7374700000000001
book,1.22068
book,1.31743
book,1.00503
book,0.89584
book,1.26491
book,0.88106
book,1.25532
book,0.76008
book,0.97395
book,1.26051
book,0.66742
book,1.23108
book,1.25775
book,0.75099
book,1.20908
book,0.67935
book,0.88106
book,0.71286
book,1.25418
book,0.7939700000000001
book,0.72687
book,0.70094
book,0.71254
book,1.00491
book,1.23646
book,1.22053
book,0.6714899999999999
book,0.6982999999999999
book,1.17471
book,0.42418
book,0.79166
book,0.78457
book,0.92583
book,0.86014
book,1.0532
book,0.95981
book,0.68386
book,1.24804
book,0.84331
book,0.76722
book,1.15463
book,1.30612
book,0.69375
book,0.69476
book,0.75344
book,1.25151
book,0.72619
book,1.29535
book,0.77077
book,1.29971
book,1.29607
book,0.76536
book,1.23351
book,0.7797499999999999
book,1.26141
book,0.99257
book,0.88952
book,0.90386
book,1.12863
book,1.21955
book,0.92583
book,0.69962
book,0.76225
book,0.7370300000000001
book,1.14029
book,1.14826
book,1.32469
book,1.04465
book,
book,1.09904
book,1.10485
book,0.81213
book,1.17761
book,1.28177
book,1.31686
book,1.03409
book,1.11651
book,0.97121
book,0.96848
book,1.23541
book,0.7398
book,0.93187
book,0.87932
book,0.98289
book,1.04357
book,0.78457
book,0.7398
book,0.92583
book,0.75099
book,0.82794
book,1.24945
book,0.68302
book,0.90374
book,1.27697
book,0.76668
book,0.70414
book,1.29442
book,1.24605
book,1.24269
book,0.81213
book,0.85527
book,0.7398
book,1.23876
book,1.25769
book,0.81628
book,1.27475
book,1.26368
book,0.66989
book,1.23935
book,0.68386
book,1.24566
book,1.25568
book,1.19863
book,0.8728400000000001
book,0.79158
book,0.6070599999999999
book,0.81236
book,0.92392
book,1.31743
book,1.12188
book,1.04737
book,1.00503
book,1.00192
book,0.84083
book,0.98487
book,1.14232
book,1.04465
book,0.5457799999999999
book,
book,0.88969
book,1.27024
book,1.22685
book,1.3054
book,1.27475
book,1.2667
book,1.27475
book,1.08721
book,1.11305
book,1.31434
book,1.10695
book,1.24694
book,1.05161
book,1.26605
book,1.24312
book,1.2515
book,1.05733
book,1.27613
book,1.2145
book,0.75143
book,0.75224
book,0.75797
book,1.1497
book,0.70877
book,0.76053
book,1.26486
book,1.27234
book,1.24815
book,0.81236
book,0.74597
book,0.81656
book,0.72708
book,0.6912
book,1.1452
book,1.29044
book,0.7096
book,0.72182
book,0.72961
book,1.26486
book,0.72687
book,0.69712
book,1.22955
book,1.12948
book,1.23843
book,1.24415
book,1.27475
book,1.27099
book,0.92583
book,1.23629
book,1.2434
book,0.82794
book,1.21981
book,0.7127600000000001
book,0.78075
book,0.74623
book,1.19522
book,1.04398
book,0.59778
book,1.27475
book,1.31239
book,1.30986
book,0.64168
book,1.24105
book,1.26975
book,0.76336
book,1.28761
book,0.71226
book,
book,1.22592
book,1.19444
book,1.06376
book,1.18188
book,1.26942
book,1.00591
book,0.81213
book,1.03954
book,1.31597
book,1.28029
book,1.02925
book,1.3307
book,0.81738
book,0.864
book,1.20685
book,1.31472
book,1.27278
book,1.27475
book,0.8307
book,1.28622
book,0.7917
book,1.28979
book,1.22866
book,0.69215
book,1.33206
book,0.7576499999999999
book,1.194
book,0.77208
book,1.28024
book,1.09397
book,1.04465
book,0.92583
book,0.90709
book,1.13972
book,0.88106
book,1.07488
book,1.27475
book,0.8388
book,0.6070599999999999
book,0.78457
book,1.30655
book,0.78457
book,0.81213
book,0.90707
book,0.87932
book,
book,1.25993
book,1.32206
book,0.77729
book,0.71739
book,0.84083
book,0.88106
book,0.75652
book,0.7472
book,0.76803
book,0.87435
book,1.0532
book,0.83358
book,1.04465
book,0.94043
book,0.7573300000000001
book,1.26051
book,0.91954
book,0.7398
book,1.11651
book,0.7746999999999999
book,0.99745
book,1.37994
book,1.25803
book,0.66726
book,1.33206
book,0.95875
book,1.25636
book,0.98223
book,0.67404
book,0.86107
book,1.01597
book,0.7596
book,1.24354
book,1.24003
book,0.7288600000000001
book,0.7486999999999999
book,1.24063
book,0.7720400000000001
book,1.28846
book,0.7398
book,0.76668
book,1.26795
book,1.19778
book,1.17278
book,0.82794
book,1.0203
book,1.27328
book,1.23394
book,1.29487
book,1.27601
book,1.37125
book,1.15184
book,1.28193
book,1.22642
book,1.29243
book,0.87352
book,0.76308
book,0.78457
book,0.6911
book,0.97415
book,1.13408
book,0.93647
book,0.6987300000000001
book,1.29287
book,0.73089
book,1.18521
book,1.22291
book,
book,0.8728400000000001
book,1.29561
book,1.3122
book,1.27234
book,0.91168
book,0.7118800000000001
book,1.21175
book,0.92583
book,1.28688
book,1.00503
book,0.65387
book,1.26051
book,1.03213
book,0.81124
book,0.9205
book,1.24605
book,0.93752
book,1.28048
book,1.1945
book,1.13745
book,0.67164
book,1.20957
book,1.23603
book,1.2626
book,1.20332
book,0.74245
book,1.26051
book,0.92583
book,1.07676
book,0.90965
book,0.7398
book,0.72139
book,0.67774
book,0.82794
book,0.71739
book,1.27475
book,1.29968
book,1.01968
book,0.79599
book,0.61931
book,0.90627
book,1.24544
book,0.6070599999999999
book,1.12662
book,1.04465
book,0.88106
book,1.3127
book,0.7781
book,1.30551
book,1.2196
book,1.28911
book,1.35231
book,1.04174
book,0.96587
book,1.29181
book,0.7096
book,
book,0.78457
book,0.88853
book,1.04465
book,0.97395
book,1.12662
book,0.93294
book,0.94467
book,1.31158
book,0.71548
book,1.19954
book,1.2601
book,1.27475
book,0.78457
book,0.86014
book,1.10951
book,1.02619
book,1.14507
book,1.31743
book,1.08879
book,1.12662
book,0.88106
book,0.94583
book,1.26072
book,1.27634
book,0.76413
book,0.96856
book,1.31002
book,0.78305
book,0.72018
book,1.3058
book,1.25892
book,0.99418
book,1.26051
book,1.04465
book,1.21861
book,0.75099
book,0.92823
book,0.94766
book,0.95556
book,0.93647
book,1.10545
book,0.75678
book,1.27099
book,0.66852
book,0.70973
book,1.17867
book,1.20839
book,0.7400100000000001
book,1.00591
book,0.8388
book,1.31333
book,1.11287
book,0.82794
book,0.6987300000000001
book,0.96325
book,1.3564
book,0.80938
book,1.18477
book,0.76686
book,0.73005
book,1.19823
book,1.27007
book,1.09417
book,0.82849
book,1.02448
book,0.60144
book,1.20625
book,0.79539
book,1.27475
book,1.21217
book,0.42418
book,1.27918
book,0.7051000000000001
book,0.75667
book,1.29931
book,0.79166
book,0.85527
book,1.26923
book,1.31804
book,1.27024
book,1.25429
book,1.27475
book,0.6070599999999999
book,1.23938
book,1.26164
book,1.37409
book,1.32064
book,
book,0.85876
book,1.24605
book,0.92583
book,0.72965
book,0.50832
book,0.6254299999999999
book,1.15284
book,1.00503
book,0.82794
book,1.08721
book,0.68312
book,0.74373
book,0.8003899999999999
book,1.2731
book,1.22472
book,1.22294
book,0.7464500000000001
book,0.71183
book,1.09045
book,1.23836
book,0.50832
book,1.21466
book,0.78653
book,1.06006
book,0.70833
book,0.7398
book,1.27475
book,0.82794
book,0.94017
book,1.27099
book,1.29559
book,1.29968
book,0.74344
book,0.97121
book,1.09457
book,0.94714
book,0.70793
book,1.2012
book,0.69381
book,1.2746
book,1.27475
book,0.90627
book,1.31245
book,0.50832
book,0.65
book,1.25006
book,1.22676
book,1.14851
book,1.02321
book,0.83765
book,
book,0.80762
book,0.74597
book,0.75455
book,1.32319
book,0.69484
book,1.2755
book,0.7482800000000001
book,0.76324
book,1.32469
book,1.16028
book,1.26108
book,0.80932
book,1.18098
book,1.19677
book,1.27224
book,1.24836
book,1.02619
book,1.02875
book,0.95336
book,0.88952
book,0.81213
book,0.83789
book,0.81124
book,0.89802
book,0.88106
book,1.1212
book,
book,1.18382
book,0.88853
book,1.27475
book,1.31743
book,1.23822
book,1.30087
book,1.35418
book,0.78028
book,0.93647
book,0.71873
book,1.29067
book,0.78042
book,0.91539
book,1.19758
book,0.7212000000000001
book,0.78746
book,1.25773
book,0.7885
book,0.7729
book,1.21076
book,1.19677
book,0.82587
book,0.81213
book,0.94459
book,1.30621
book,0.7398
