P_ID,Flow,Word count,NAs
0,0.7946195394116613,21,0

1,0.7824214063223065,21,0

2,0.7090240318883911,21,0

3,0.7651996320256058,21,0

4,0.7967668714599849,21,0

5,0.7816497638600645,21,1

6,0.7465711115226935,21,2

7,0.7518902126267231,21,1

8,0.7452653304716084,21,1

9,0.7906965038632516,21,0

10,0.7427635458912929,21,0

11,0.8081382396256412,21,0

12,0.7656252418807847,21,0

13,0.7907734017640816,21,0

14,0.7521421242320248,21,3

15,0.7487902536466122,21,1

16,0.8007785224390084,21,1

17,0.7840875355229985,21,0

18,0.7470665184980223,21,1

19,0.6547278912455485,21,4

20,0.7695749974168119,21,0

21,0.8254042483808456,21,1

22,0.7449007753460097,21,1

23,0.7794988491860272,21,1

24,0.7968702919902891,21,0

25,0.7150590061006655,21,2

26,0.8101137623613536,21,1

27,0.8070283628873236,21,1

28,0.7582917987038282,21,0

29,0.8216992002225965,21,0

30,0.7956467001834939,21,0

31,0.8125261795197866,21,2

32,0.8089258946442369,21,0

33,0.7698662335958024,21,0

34,0.815162135190907,21,0

35,0.755960032920762,21,2

36,0.7945440486835013,21,0

37,0.8313531082115574,21,1

38,0.7894393963517008,21,0

39,0.7972630031828284,21,1

40,0.7862301094289735,21,0

41,0.823299306053747,21,0

42,0.7637223750910793,21,0

43,0.7894762319048384,21,1

44,0.8256958438077545,21,1

45,0.810314797450385,21,0

46,0.8076373090816101,21,0

47,0.7432945611718718,21,0

48,0.8018630488844234,21,0

49,0.8019169707315953,21,1

50,0.729764700746938,21,1

51,0.8130405025598042,21,1

52,0.7796608851149405,21,1

53,0.7955529191567591,21,1

54,0.7956763495504479,21,1

55,0.7731888020689631,21,1

56,0.8084145667806684,21,2

57,0.7985179811531593,21,1

58,0.8544155380285595,21,0

59,0.804548786629774,21,0

60,0.7941574232735539,21,0

61,0.7620477708033672,21,1

62,0.7870113696737754,21,1

63,0.7690811042822654,21,0

64,0.8040590007657,21,0

65,0.7969019037343328,21,0

66,0.7777311489332458,21,1

67,0.7787825976612008,21,0

68,0.8758325916737107,21,1

69,0.8188111604773806,21,0

70,0.7897627048817191,21,1

71,0.7670884090770848,21,1

72,0.8075177693907528,21,1

73,0.8519157942551846,21,1

74,0.8150303399343148,21,0

75,0.8075757971062147,21,1

76,0.7968842702735728,21,1

77,0.7538867707288206,21,0

78,0.7631395108019208,21,1

79,0.7541888418224707,21,0

80,0.8178317746538898,21,1

81,0.8360844779126676,21,0

82,0.7523419324250834,21,0

83,0.7533747786561187,21,1

84,0.7354068800275273,21,0

85,0.7899181352057877,21,0

86,0.7427323557251726,21,1

87,0.8647287493565947,21,2

88,0.7775631470704236,21,1

89,0.8062196116370315,21,1

90,0.8129755531061553,21,0

91,0.8279208289938423,21,1

92,0.8189617820471312,21,1

93,0.7933801335785394,21,1

94,0.7667223318906367,21,1

95,0.6946889853938134,21,2

96,0.8366770582047898,21,1

97,0.7968075512271376,21,0

98,0.8153136128198234,21,1

99,0.8254386836797558,21,1

