P_ID,Flow,Word count,NAs
0,0.6670247625994515,20,1

1,0.6563950557399444,20,1

2,0.7183592158511698,20,1

3,0.6809886675509547,20,1

4,0.7250666386935058,20,2

5,0.6845494416291692,20,2

6,0.6867020794016399,20,1

7,0.7047964934994718,20,1

8,0.6764190526390083,20,1

9,0.6674664723758261,20,1

10,0.6778121054163451,20,1

11,0.7449505000516605,20,1

12,0.7087585586175197,20,1

13,0.6873019576182272,20,1

14,0.7101000906262178,20,1

15,0.6960984305509942,20,1

16,0.6676119289657038,20,1

17,0.6973821436444215,20,1

18,0.6867020794016399,20,1

19,0.6965825795040843,20,1

20,0.6711019465802969,20,1

21,0.7355834998950281,20,2

22,0.7160541488788037,20,1

23,0.7061293830323,20,1

24,0.7841539409086041,20,1

