P_ID,Flow,Word count,NAs
0,0.5488830885156202,50,1

1,0.7591699384982392,50,0

2,0.7034991309375229,50,0

3,0.7268021552864194,50,1

4,0.7129210031721452,50,11

5,0.47677988066514915,50,19

6,0.5669576348420071,50,0

7,0.7026294696343092,50,6

8,0.020061010109358984,50,16

9,0.7762119588700959,50,0

10,0.019439959676947734,50,18

11,0.47778663772586094,50,1

12,0.37046337627208586,50,1

13,0.5942680202381299,50,11

14,0.2819736736198268,50,1

15,0.6334991779379542,50,1

16,0.7151394392609597,50,0

17,0.6463736593479804,50,1

18,0.18840022011162882,50,1

19,0.25950354939085835,50,17

20,0.6746258978622418,50,6

21,0.6170658212775322,50,1

22,0.8155098626775596,50,0

23,0.5986597999655777,50,1

24,0.5481133376999663,50,6

25,0.7210878814773891,50,0

26,0.4281838996956678,50,1

27,0.6505162647568467,50,1

28,0.7036452874357223,50,3

29,0.018447201157699402,50,3

30,0.019616850491985468,50,19

31,0.020432597139696196,50,1

32,0.3485443237599786,50,1

33,0.1776585821466009,50,4

34,0.31088987462443335,50,1

35,0.6218944219811989,50,2

36,0.5729902626885183,50,0

37,0.5419413301888558,50,1

38,0.02290132705011946,50,17

39,0.7586404756120418,50,6

40,0.7946075886956748,50,7

41,0.8533929271073832,50,0

42,0.23850279686965883,50,16

43,0.21639835128175874,50,0

44,0.6449327149426491,50,1

45,0.3551545325638559,50,1

46,0.6139291286361608,50,1

47,0.6728336531976365,50,1

48,0.6552269311926326,50,1

49,0.17642921201579603,50,17

50,0.4651466783371466,50,0

51,0.2982155530949297,50,1

52,0.6955988724817783,50,1

53,0.46140478943986274,50,1

54,0.6020610425306802,50,13

55,0.8384329585867769,50,0

56,0.5063655957260477,50,1

57,0.6673275240298413,50,1

58,0.805528543949593,50,0

59,0.818958718180487,50,0

60,0.01933367958633917,50,19

61,0.7077811534268137,50,1

62,0.7450521453169678,50,1

63,0.021152493152533196,50,1

64,0.1011941951518857,50,10

65,0.8089226876696876,50,1

66,0.25987572505434514,50,17

67,0.7743317869082673,50,0

68,0.745184894827572,50,1

69,0.6929586780073512,50,1

70,0.27488746264436287,50,1

71,0.6927308125866336,50,1

72,0.708607895442741,50,1

73,0.4819298118262595,50,1

74,0.6328915333466009,50,1

75,0.6750737603888514,50,3

76,0.5590739593675679,50,1

77,0.6888914866397144,50,1

78,0.7118104961540342,50,1

79,0.501663361744049,50,7

80,0.3590313403252436,50,1

81,0.45183114955149684,50,0

82,0.6167303473200942,50,1

83,0.3732967762013488,50,5

84,0.7117477463682419,50,0

85,0.5170393071437995,50,1

86,0.7510115722809702,50,0

87,0.6466784717882502,50,0

88,0.509289662891151,50,1

89,0.8000491011968431,50,0

90,0.6380808807777588,50,1

91,0.40298912467928644,50,2

92,0.6749666926508805,50,1

93,0.39820457183471647,50,1

94,0.6994672855545363,50,1

95,0.722375001463825,50,2

96,0.7012932504859151,50,1

97,0.8296484812965103,50,1

98,0.5111557318610643,50,1

99,0.6602740245525162,50,1

