P_ID,Flow,Word count,NAs
0,0.7368122953170456,37,0

1,0.7355536682958187,37,0

2,0.7310366419805652,37,0

3,0.6701156542569033,37,0

4,0.759536902458582,37,5

5,0.7320025860971844,37,0

6,0.7400314302938006,37,3

7,0.7442454774003104,37,7

8,0.6768576367485191,37,0

9,0.6846257425270439,37,0

10,0.7478029071957046,37,1

11,0.7128612270839843,37,4

12,0.6600099681332731,37,0

13,0.711328227255124,37,0

14,0.6470279512258489,37,1

15,0.7449725318436261,37,0

16,0.6970141342271347,37,0

17,0.6835587582993311,37,0

18,0.6860624056162525,37,2

19,0.7404380611455607,37,0

20,0.712626992064007,37,0

21,0.8062150630840049,37,0

22,0.6864376182386519,37,0

23,0.6245554440190223,37,0

24,0.6537373746163618,37,0

25,0.7460780574458624,37,1

26,0.7499583744940694,37,0

27,0.678312362985854,37,2

28,0.7057659356232144,37,0

29,0.6508745475853556,37,2

30,0.7494656116658781,37,6

31,0.7207589242847354,37,0

32,0.710407852801365,37,0

33,0.684394904544454,37,0

34,0.7630117915173871,37,6

35,0.6189643752432824,37,0

36,0.8002162043010648,37,0

37,0.6829058051487343,37,0

38,0.6143104747378868,37,1

39,0.7046699711456916,37,0

40,0.7633258088392411,37,2

41,0.7521933921628895,37,2

42,0.744049129559849,37,0

43,0.7556881475934092,37,0

44,0.7742573470769185,37,8

45,0.6410553712655762,37,4

46,0.7805221645039964,37,2

47,0.7224384072457823,37,1

48,0.7295920253650364,37,0

49,0.7112162545345245,37,3

50,0.6970985883248678,37,0

51,0.7712819905681748,37,5

52,0.7865025208043501,37,2

53,0.7271939076652824,37,0

54,0.7348329725718226,37,0

55,0.732132530375628,37,0

56,0.7072012283290624,37,5

57,0.7309211156242061,37,0

58,0.7025287564432752,37,0

59,0.7894788354900668,37,0

60,0.6749918647152712,37,0

61,0.7255098927047257,37,1

62,0.7784578096809074,37,1

63,0.776130362740197,37,0

64,0.7718886539259151,37,1

65,0.7073543266607577,37,0

66,0.7523339693087002,37,0

67,0.6788666081550533,37,2

68,0.7073538878733449,37,0

69,0.5043358921933283,37,15

70,0.7385489556902237,37,0

71,0.7386934473202915,37,0

72,0.7366636461251813,37,0

73,0.7144592807148384,37,3

74,0.744452663762093,37,0

75,0.7016977866800437,37,0

76,0.731692995483012,37,1

77,0.5320503299733471,37,0

78,0.7469927549986525,37,3

79,0.7757716077957845,37,0

80,0.7059155588602443,37,0

81,0.7154133654630045,37,1

82,0.7098796850203493,37,0

83,0.7614007351738046,37,3

84,0.7203684871003576,37,0

85,0.7014801939895678,37,0

86,0.6194370462576145,37,2

87,0.7155310103126132,37,0

88,0.6833877125942315,37,0

89,0.7139287005747736,37,0

90,0.7200617067853536,37,0

91,0.7487101075250934,37,5

92,0.8103694466239016,37,0

93,0.7563660759203467,37,2

94,0.7489907932598625,37,0

95,0.6575676897256078,37,0

96,0.7404201212381113,37,0

97,0.7649008773420283,37,0

98,0.7514207803246313,37,0

99,0.7050554950552687,37,8

