P_ID,Flow,Word count,NAs
0,0.7639431782352153,22,0

1,0.7128888268620804,22,2

2,0.7783008948691291,22,2

3,0.7430602112519383,22,2

4,0.7135455452620858,22,4

5,0.7305686901099726,22,3

6,0.755078589596545,22,5

7,0.7547641960780604,22,0

8,0.7036048012921918,22,2

9,0.7298781382981572,22,5

10,0.7738827640830267,22,2

11,0.7491648697111741,22,2

12,0.7630016810462603,22,6

13,0.7188615595706467,22,4

14,0.7285011639029886,22,3

15,0.7543526033076073,22,5

16,0.7473084970888605,22,0

17,0.7036003716513642,22,2

18,0.7273824991712451,22,5

19,0.7800387385676801,22,2

20,0.7343907830620524,22,2

21,0.7693551569932732,22,6

22,0.7749223183801138,22,1

23,0.7489753086750683,22,2

24,0.7798944691682985,22,2

25,0.7502863363084238,22,2

26,0.7760960343845309,22,3

27,0.7157983964051662,22,5

28,0.7688749837102168,22,4

29,0.7287099957661104,22,4

30,0.7289014053773655,22,3

31,0.770232435705942,22,5

32,0.7619307900166193,22,0

33,0.7141290471529229,22,2

34,0.736659856351545,22,5

35,0.7749247394745998,22,2

36,0.7431153233924459,22,2

37,0.7603203198003853,22,6

38,0.7781889139329825,22,1

39,0.7553869972734593,22,2

40,0.7130822013805003,22,4

41,0.7378610041880546,22,3

42,0.7578759194010993,22,5

43,0.7531156725574423,22,0

44,0.730315810040924,22,4

45,0.7344113287519848,22,3

46,0.7277041301262015,22,4

47,0.7386677903341964,22,3

48,0.7634403842410976,22,5

49,0.7579714330933667,22,0

50,0.6980907081194214,22,2

51,0.7319914285878433,22,5

52,0.7822408708848113,22,2

53,0.7490205058563821,22,2

54,0.768058234108858,22,6

55,0.752244638301406,22,2

56,0.7670881171002796,22,2

57,0.7760834121843637,22,3

58,0.7382591037060626,22,2

59,0.7633411330262293,22,6

60,0.7139798045401647,22,6

61,0.7659678684483279,22,2

62,0.8081269887979625,22,6

63,0.3226637889699738,22,2

64,0.7364623614268697,22,3

65,0.705915423558685,22,6

66,0.755502938871538,22,2

67,0.8503247907694416,22,0

68,0.7396922856343333,22,3

69,0.7823458147168527,22,1

70,0.7446808808155779,22,2

71,0.7367410986500225,22,4

72,0.7451715707874095,22,1

73,0.7654102863469263,22,6

74,0.7462442673807967,22,5

75,0.7658405608925956,22,0

76,0.7383922795814417,22,5

77,0.8872970441006812,22,6

78,0.7404966390859801,22,3

79,0.771836990605697,22,4

80,0.7554827130781859,22,3

81,0.8340476933365278,22,2

82,0.787822120684329,22,5

83,0.7707899902963545,22,6

84,0.7551035337702987,22,2

85,0.7473062988660085,22,1

86,0.7606374038904926,22,5

87,0.7664693755984143,22,2

88,0.7476090343333753,22,3

89,0.7812020464258578,22,6

90,0.7345599091642369,22,6

91,0.7600350097244428,22,5

92,0.7284174774067652,22,4

93,0.7431879436647353,22,3

94,0.767097515442555,22,5

95,0.7579439257726596,22,0

96,0.7039747551179674,22,2

97,0.743963152428049,22,5

98,0.7832853390533145,22,2

99,0.7499059375300849,22,2

